lat,lng,count
47.19990,8.85060,1
32.86080,-79.97460,26
39.66630,-104.83430,3
55.65140,12.29260,4
41.25910,-95.85170,26
45.59990,-121.18710,2
41.38000,-8.77100,1
26.07030,-80.22480,1
48.86070,2.32810,1
51.44440,7.01140,1
42.27960,-71.12820,6
59.51740,17.92170,1
45.52120,-73.55240,2
39.92850,116.38500,13
-12.04640,-77.04280,2
-25.75990,28.26040,1
60.89590,11.56950,1
55.96810,10.15830,2
51.77070,19.46560,1
19.04360,-98.19810,1
-22.71120,-47.29280,2
43.66940,-79.40180,1
47.26370,11.40160,2
44.96500,-92.36760,1
49.31670,-122.73840,1
50.83360,4.33370,39
-22.94850,-43.34360,1
52.53170,13.33780,2
48.76700,9.18270,1
47.60340,-122.34140,304
38.70950,-78.15390,283
41.60210,-93.61240,129
36.65340,-78.37500,208
45.37160,-122.76560,3
29.42270,-98.49270,19
47.60920,-122.11680,8
48.93660,-122.45760,13
47.79460,-122.21930,9
45.60730,-122.41470,8
53.42360,-2.31130,1
47.67840,-122.18570,4
23.11810,113.25390,1
45.95450,12.65780,1
49.26670,16.60000,8
-5.08540,-42.80300,1
42.07700,-87.72090,2
-23.62830,-46.64090,1
51.77360,19.47720,165
50.74630,7.12710,1
43.44440,-80.48770,1
53.13690,-1.19950,1
46.19150,6.14030,2
53.13000,18.01190,1
52.01340,4.36550,1
48.18300,-122.11360,2
57.70650,11.96700,2
51.06630,4.04630,1
51.76790,5.52060,2
-33.87150,151.20060,5
2.50000,112.50000,1
35.69180,139.70020,1
-30.11690,-51.26580,2
48.73900,2.48590,1
40.42290,-3.69160,1
-41.00000,174.00000,2
37.77710,-122.40600,4
47.61500,-122.16190,2
41.69190,-73.86420,1
-34.85760,-56.17020,3
49.44250,6.35660,5
50.45800,30.53030,1
56.13790,9.15550,1
6.44740,3.39030,1
42.33940,-122.84750,2
44.40220,26.06240,1
47.54610,-122.37230,2
42.47480,-71.44990,1
48.81310,2.36410,1
39.59080,-0.44670,2
59.89830,30.26180,4
48.83560,2.25490,1
45.82930,15.97930,14
21.03130,105.85160,3
45.35480,-75.57730,3
-15.77920,-47.93410,1
44.92700,4.89300,2
38.64860,-9.19750,1
24.47980,118.08190,1
32.08210,34.81220,3
42.56010,-87.87560,1
-21.82720,-48.20660,1
50.90060,7.87610,1
49.77860,9.93080,4
-23.69500,-46.56160,1
-33.89130,-60.57470,1
45.04520,38.97220,1
46.97860,7.44830,1
48.86450,-122.59530,2
43.53660,-79.69190,1
-24.00280,-46.48930,1
-26.26590,-48.99870,1
55.74830,37.61710,1
48.95330,-122.12830,4
43.73380,-79.33250,1
40.27830,-111.71980,1
-29.66340,-50.75930,1
53.21570,6.57650,3
47.55170,7.57140,1
45.74800,4.85000,1
46.38620,-0.41990,2
-33.91400,18.41290,3
22.29080,114.15010,1
49.19950,16.62960,1
44.44700,1.43070,1
47.36820,8.56710,2
55.24290,10.47210,1
26.24100,50.57790,1
43.61070,3.88090,1
52.99940,-1.13180,1
-28.49220,-49.03210,1
53.90070,27.57090,9
51.04850,7.00920,1
-22.75390,-43.45190,1
33.71880,-118.00330,1
38.34200,-0.48250,5
47.21450,-1.55120,15
51.51980,7.15710,1
35.68870,139.74500,3
42.43710,-71.77130,1
39.95080,-82.93290,1
40.63810,22.94550,1
33.85130,-84.28700,1
59.32470,18.05600,6
49.01590,8.34680,1
44.13790,12.23470,2
41.55570,-72.66320,1
30.97310,72.48440,1
51.73140,5.36610,4
12.96340,77.58550,1
13.71590,100.41700,1
51.92150,10.42830,1
43.11080,12.39800,1
-6.79630,39.28470,1
-23.31730,-46.56010,1
-9.40460,-40.50240,1
1.29290,103.85470,9
43.10680,131.86920,1
52.38060,4.87380,1
51.91270,5.83930,1
48.83230,2.40750,1
48.18330,17.03790,1
48.21700,16.39440,1
50.86890,20.62380,1
56.10890,10.20940,1
